Date,Open,High,Low,Close,Adj Close,Volume
1997-09-15,12.771448,12.844450,12.275297,12.424813,7.129542,2030321
1997-09-16,12.585391,13.099883,12.443084,13.096244,7.514818,3294192
1997-09-17,13.081613,13.099883,12.680239,12.917395,7.412192,1901412
1997-09-18,12.917395,13.067054,12.764168,12.895550,7.399657,2302151
1997-09-19,12.939305,13.048784,12.359148,12.461282,7.150468,3351641
1997-09-22,12.698510,13.092604,12.698510,13.026867,7.475009,2715502
1997-09-23,12.990405,13.081613,12.640131,12.683872,7.278195,2348391
1997-09-24,12.661969,12.807917,12.661969,12.713069,7.294949,1929435
1997-09-25,12.698510,12.738611,12.490465,12.534292,7.192363,2725310
1997-09-26,12.406543,12.548851,12.132561,12.187586,6.993417,3334827
1997-09-29,12.366434,12.443084,12.151117,12.402896,7.116966,1618372
1997-09-30,12.589031,12.844450,12.552491,12.793358,7.341019,3071404
1997-10-01,12.844450,13.227561,12.796997,13.143632,7.542011,4014403
1997-10-02,13.136352,13.501257,12.902836,12.972127,7.443597,3577232
1997-10-03,12.972127,12.972127,12.972127,12.972127,7.443597,0
1997-10-06,13.045144,13.391778,13.045144,13.209362,7.579729,2285337
1997-10-07,13.136352,13.282300,12.880919,13.026867,7.475009,1848166
1997-10-08,13.136352,13.318840,13.026867,13.063336,7.495936,3249354
1997-10-09,13.056063,13.172821,12.370074,12.589031,7.223773,3306803
1997-10-10,12.651050,12.767808,12.151117,12.242318,7.024823,3672513
1997-10-13,12.224126,12.370074,12.151117,12.187586,6.993417,12058623
1997-10-14,12.169387,12.205849,12.132561,12.140198,6.966227,4796266
1997-10-15,12.114641,12.162108,12.041638,12.114641,6.951560,3365653
1997-10-16,12.059902,12.096378,11.968693,12.037999,6.907583,2205469
1997-10-17,11.968693,12.023432,11.567327,11.804483,6.773588,6792959
1997-10-20,11.877485,11.950430,11.603796,11.895691,6.825924,1824346
1997-10-21,11.986899,12.224126,11.913961,12.224126,7.014386,2561371
1997-10-22,12.260588,12.351797,11.939511,11.997890,6.884569,2016309
1997-10-23,11.913961,11.913961,11.403109,11.611075,6.662609,5136755
1997-10-24,11.786212,11.932160,11.658535,11.676734,6.700284,1814538
1997-10-27,11.414028,11.636618,10.946996,11.384839,6.532789,3944344
1997-10-28,10.618560,10.837517,9.523846,10.399603,5.967446,8854106
1997-10-29,10.910455,11.472407,10.837517,11.220621,6.438559,3626274
1997-10-30,11.129413,11.238891,10.855716,11.184152,6.417632,2821992
1997-10-31,11.275360,11.487038,10.950636,11.257161,6.459526,2450677
1997-11-03,11.494317,11.713274,11.410388,11.676734,6.700284,2575383
1997-11-04,11.713274,11.713274,11.330099,11.494317,6.595611,1995291
1997-11-05,11.530779,11.757023,11.530779,11.658535,6.689841,2300750
1997-11-06,11.658535,11.676734,11.293630,11.487038,6.591432,2614616
1997-11-07,11.275360,11.275360,11.019934,11.165882,6.407149,2728113
1997-11-10,11.275360,11.348370,10.910455,10.910455,6.260581,1039681
1997-11-11,10.946996,11.165882,10.910455,11.111142,6.375740,1123752
1997-11-12,11.056403,11.056403,10.855716,10.928726,6.271065,2693083
1997-11-13,11.038204,11.238891,10.928726,10.939645,6.277329,2583790
1997-11-14,11.092943,11.311829,10.946996,11.184152,6.417632,2248906
1997-11-17,11.549056,11.768013,11.238891,11.311829,6.490895,4656147
1997-11-18,11.311829,11.424940,11.169521,11.275360,6.469969,2831800
1997-11-19,11.220621,11.227972,10.936005,10.957915,6.287815,4266617
1997-11-20,11.019934,11.162242,10.965195,10.983465,6.302476,5373555
1997-11-21,11.202422,11.530779,11.147683,11.366568,6.522306,4261012
1997-11-24,11.311829,11.348370,10.998024,11.019934,6.323402,3330623
1997-11-25,11.129413,11.494317,11.071034,11.352009,6.513952,734222
1997-11-26,11.651255,11.965061,11.643905,11.804483,6.773588,1632384
1997-11-27,11.913961,12.388344,11.913961,12.315335,7.066723,2265720
1997-11-28,12.260588,12.260588,12.114641,12.242318,7.024823,716007
1997-12-01,12.406543,12.917395,12.406543,12.771448,7.328446,2003698
1997-12-02,12.807917,12.917395,12.537932,12.661969,7.265626,1321320
1997-12-03,12.661969,13.118075,12.607230,12.661969,7.265626,1439020
1997-12-04,12.698510,12.771448,12.406543,12.589031,7.223773,1297500
1997-12-05,12.589031,12.771448,12.443084,12.734979,7.307520,916376
1997-12-08,12.826187,12.917395,12.479553,12.643763,7.255179,899562
1997-12-09,12.661969,12.771448,12.497751,12.680239,7.276110,343291
1997-12-10,12.625500,12.625500,12.479553,12.537932,7.194452,341889
1997-12-11,12.406543,12.406543,12.187586,12.318975,7.068811,645947
1997-12-12,12.479553,12.570761,12.297057,12.370074,7.098132,641744
1997-12-15,12.297057,12.545204,11.877485,11.888411,6.821747,1006052
1997-12-16,12.037999,12.479553,12.005169,12.472273,7.156775,828102
1997-12-17,12.516022,12.661969,12.370074,12.399256,7.114877,629133
1997-12-18,12.333605,12.468562,12.151117,12.242318,7.024823,497421
1997-12-19,12.114641,12.114641,11.421308,11.439578,6.564200,2020513
1997-12-22,11.603796,11.913961,11.439578,11.913961,6.836408,884149
1997-12-23,11.913961,12.078179,11.457848,11.457848,6.574683,638941
1997-12-24,11.457848,11.457848,11.457848,11.457848,6.574683,0
1997-12-25,11.457848,11.457848,11.457848,11.457848,6.574683,0
1997-12-26,11.457848,11.457848,11.457848,11.457848,6.574683,0
1997-12-29,11.636618,12.169387,11.621987,12.041638,6.909671,451182
1997-12-30,12.169387,12.661969,12.169387,12.534292,7.192363,889754
1997-12-31,12.534292,12.534292,12.534292,12.534292,7.192363,0
1998-01-01,12.534292,12.534292,12.534292,12.534292,7.192363,0
1998-01-02,12.516022,12.807917,12.370074,12.443084,7.140027,772054
1998-01-05,12.406543,12.745898,12.406543,12.698510,7.286596,652953
1998-01-06,12.698510,13.231200,12.589031,12.899196,7.401750,1301703
1998-01-07,12.917395,13.318840,12.807917,13.139992,7.539924,1970070
1998-01-08,13.245831,13.610728,12.924746,13.041504,7.483408,1584743
1998-01-09,12.953936,13.063336,12.443084,12.443084,7.140027,1326925
1998-01-12,11.895691,12.205849,11.877485,12.041638,6.909671,1342338
1998-01-13,12.457643,12.661969,12.380993,12.443084,7.140027,965418
1998-01-14,12.716708,12.764168,12.424813,12.443084,7.140027,748234
1998-01-15,12.443084,12.625500,12.224126,12.552491,7.202806,1087321
1998-01-16,12.680239,12.680239,12.370074,12.406543,7.119059,1478253
1998-01-19,12.479553,12.658329,12.224126,12.443084,7.140027,1224638
1998-01-20,12.497751,12.497751,12.041638,12.129207,6.959919,1542707
1998-01-21,12.224126,12.242318,11.578246,11.607435,6.660519,2442270
1998-01-22,11.330099,11.676734,11.092943,11.585525,6.647946,3151271
1998-01-23,11.596509,12.037999,11.421308,11.768013,6.752660,1340936
1998-01-26,11.822753,11.932160,11.530779,11.822753,6.784071,728617
1998-01-27,11.731473,11.786212,11.552696,11.621987,6.668869,962616
1998-01-28,11.640265,12.114641,11.640265,11.983259,6.876172,1489462
1998-01-29,12.078179,12.118288,11.968693,12.096378,6.941082,1366158
1998-01-30,12.151117,12.151117,11.968693,12.052629,6.915978,624929
1998-02-02,12.096378,12.224126,11.997890,12.008802,6.890829,856125
1998-02-03,12.041638,12.041638,11.738817,11.738817,6.735909,951406
1998-02-04,11.603796,11.786212,11.479680,11.479680,6.587212,1597354
1998-02-05,11.567327,11.913961,11.523507,11.559976,6.633286,1353547
1998-02-06,11.676734,11.840952,11.494317,11.804483,6.773588,1104136
1998-02-09,11.928520,11.968693,11.771653,11.859222,6.804998,1105537
1998-02-10,11.932160,11.965061,11.749743,11.913961,6.836408,1083118
1998-02-11,12.041638,12.183946,11.826393,11.840952,6.794515,2557168
1998-02-12,11.786212,11.895691,11.676734,11.691364,6.708680,707599
1998-02-13,11.822753,11.895691,11.530779,11.859222,6.804998,940197
1998-02-16,11.786212,12.041638,11.786212,11.994250,6.882480,884149
1998-02-17,11.994250,12.111008,11.950430,12.041638,6.909671,1223237
1998-02-18,12.078179,12.151117,11.684078,11.895691,6.825924,1419403
1998-02-19,11.895691,11.895691,11.695004,11.760663,6.748443,561876
1998-02-20,11.786212,11.895691,11.643905,11.855582,6.802908,772054
1998-02-23,11.932160,12.096378,11.932160,12.041638,6.909671,884149
1998-02-24,12.041638,12.187586,11.968693,12.169387,6.982974,798677
1998-02-25,12.169387,12.888206,12.162108,12.880919,7.391262,2537551
1998-02-26,13.063336,13.300570,12.589031,12.771448,7.328446,2100380
1998-02-27,12.862656,12.990405,12.501455,12.698510,7.286596,1308709
1998-03-02,12.680239,12.880919,12.406543,12.880919,7.391262,1069106
1998-03-03,12.771448,12.807917,12.446723,12.716708,7.297037,1027070
1998-03-04,12.807917,13.245831,12.789711,13.063336,7.495936,4380113
1998-03-05,13.099883,13.410049,12.880919,13.410049,7.694885,1782311
1998-03-06,13.318840,13.428248,13.191092,13.300570,7.632065,965418
1998-03-09,13.391778,13.793145,13.391778,13.629006,7.820526,2121398
1998-03-10,13.537726,14.117948,13.410049,14.085119,8.082252,1567929
1998-03-11,14.231059,15.198031,13.866162,15.070354,8.647593,5862570
1998-03-12,15.143285,15.143285,14.504763,14.650710,8.406794,3843458
1998-03-13,14.650710,14.778388,13.939171,14.231059,8.165993,1928034
1998-03-16,14.048578,14.340545,13.902631,14.103318,8.092693,1015861
1998-03-17,14.304004,14.377007,14.048578,14.267535,8.186925,1014460
1998-03-18,14.267535,14.336898,13.975640,14.282166,8.195319,1112543
1998-03-19,14.285798,14.501051,14.176327,14.212796,8.155514,1032675
1998-03-20,14.377007,14.450023,14.110668,14.311355,8.212069,962616
1998-03-23,14.231059,14.231059,13.767602,13.975640,8.019430,1542707
1998-03-24,13.774953,13.972000,13.680034,13.866162,7.956610,1284889
1998-03-25,13.939171,14.552151,13.884432,14.413483,8.270671,1873388
1998-03-26,14.413483,14.413483,14.066848,14.220076,8.159692,830904
1998-03-27,14.190886,14.212796,13.993839,14.015749,8.042446,455386
1998-03-30,13.957370,14.012109,13.683674,13.920901,7.988021,658558
1998-03-31,13.920901,14.482853,13.902631,14.012109,8.040357,1483858
1998-04-01,14.194590,14.358744,14.026740,14.194590,8.145067,1161584
1998-04-02,13.975640,14.252976,13.975640,14.070488,8.073854,711803
1998-04-03,14.231059,14.504763,14.048578,14.267535,8.186925,994843
1998-04-06,14.194590,14.632440,14.194590,14.614170,8.385827,1112543
1998-04-07,14.723648,15.004624,14.522961,14.887866,8.542880,1909819
1998-04-08,14.906129,14.906129,14.431753,14.577701,8.364902,1126555
1998-04-09,14.522961,14.522961,14.055929,14.340545,8.228816,1141968
1998-04-10,14.340545,14.340545,14.340545,14.340545,8.228816,0
1998-04-13,14.340545,14.340545,14.340545,14.340545,8.228816,0
1998-04-14,14.431753,14.522961,14.231059,14.325907,8.220419,1029873
1998-04-15,14.231059,14.512042,14.085119,14.413483,8.270671,1305907
1998-04-16,14.450023,14.851397,14.413483,14.811217,8.498898,2223685
1998-04-17,14.668909,15.504557,14.599611,15.489927,8.888350,1915423
1998-04-20,15.544666,15.873094,15.179754,15.497278,8.892570,1587546
1998-04-21,15.362249,15.362249,14.960876,15.216302,8.731339,1329727
1998-04-22,15.106823,15.325780,14.942605,15.143285,8.689442,1088723
1998-04-23,15.143285,15.179754,14.851397,14.960876,8.584772,1361954
1998-04-24,14.887866,14.942605,14.559423,14.942605,8.574288,758042
1998-04-27,14.869596,15.070354,14.668909,14.705449,8.438205,1262470
1998-04-28,14.778388,15.289240,14.595971,15.289240,8.773191,1213428
1998-04-29,15.325780,15.435187,14.851397,14.960876,8.584772,2885046
1998-04-30,15.212662,15.982580,15.055724,15.508197,8.898834,2964913
1998-05-01,15.508197,15.508197,15.508197,15.508197,8.898834,0
1998-05-04,15.438891,15.964310,15.325780,15.913210,9.131237,1336733
1998-05-05,15.836632,15.836632,15.380519,15.416989,8.846498,1188207
1998-05-06,15.343979,15.628595,15.052077,15.351259,8.808782,1014460
1998-05-07,15.325780,15.672415,15.143285,15.453458,8.867422,994843
1998-05-08,15.522827,16.055511,15.435187,16.055511,9.212891,1077513
1998-05-11,16.055511,16.420424,15.895011,15.909563,9.129145,843515
1998-05-12,15.858464,16.201536,15.599405,16.183268,9.286199,1088723
1998-05-13,16.274475,16.310944,15.836632,15.964310,9.160559,1118148
1998-05-14,16.066502,16.274475,15.781893,16.201536,9.296682,843515
1998-05-15,16.270836,16.493425,16.073788,16.248919,9.323871,999047
1998-05-18,16.055511,16.106609,15.836632,15.836632,9.087296,560475
1998-05-19,15.946111,15.946111,15.781893,15.865822,9.104044,622127
1998-05-20,15.854824,16.310944,15.854824,16.238007,9.317609,1049489
1998-05-21,16.238007,16.238007,16.238007,16.238007,9.317609,0
1998-05-22,16.164997,16.445972,16.066502,16.238007,9.317609,986436
1998-05-25,16.347477,16.456957,16.164997,16.402218,9.411837,369913
1998-05-26,16.164997,16.559092,16.164997,16.456957,9.443247,917778
1998-05-27,16.095697,16.219736,15.814722,15.946111,9.150116,1433415
1998-05-28,16.037319,16.128529,15.767256,15.982580,9.171042,945801
1998-05-29,16.000772,16.420424,15.836632,16.318295,9.363680,800078
1998-06-01,16.318295,16.318295,16.318295,16.318295,9.363680,0
1998-06-02,16.164997,17.150232,16.092058,16.748857,9.610744,1100633
1998-06-03,16.694118,17.040752,16.694118,16.840067,9.663081,977328
